,Unnamed: 0,Number,P_Name,Desc,locality,District,Zone,Contact_No,Opening_Time,Popular_for,Category,Latitude,Longitude,Img_Path,Charge
10,10,11,Western Tandoori,"
","Amrit Marg, North of trivedi Marg, Thamel","Kathmandu 44600, ",   Central Region,#NAME?,7:00 AM - 9:00 PM,"Indian, Asian, Nepali",Restaurant ,27.71532,85.312773,Western Tandoori.jpg,"NPRÂ 1,107"
11,11,12,Rosemary Kitchen & Coffee Shop,"
NAMASTE- welcome to the place of excellence! ""Food for the body is not enough. There must be food for the soul."" -Dorothy Day Rosemary Kitchen does not have a long history back, but the humble appreciation of satisfied clients so far makes it a Legend! It has been two year that Rosemary Kitchen was open to serve the public. Since then, it has been serving the food for soul and accumulated great client base of internal and external tourists who come to visit the Himalayan Kingdom of Nepal.
",Thamel Marga,"Kathmandu 44600, ",   Bagmati Zone,+977 1-4267554,7:30 AM - 10:00 PM,"Indian, European, Asian",Restaurant ,27.712401,85.311416,Rosemary Kitchen & Coffee Shop.jpg,"NPRÂ 1,107"
12,12,13,Mitho Restaurant,"
Mitho is a small cozy cafe-restaurant in Thamel, Kathmandu, near Chhetrapati Chowk with its famous Bodhi Tree. For more than 15 years Mitho has been known for its affordable, tasty food and its relaxing, homely athmosphere. We specialize in authentic & modern Nepali, Indian food, as well as delicious specialties from other countries (world food). Visit us for breakfast, lunch, dinner or just for a relaxing time with good drinks... Coffee, tea, smoothies, yoghurts, sandwiches, dal bhat, curries, masalas, tandooris, salads Buddha bowls, tagines, steaks, pizzas...
",243 JP Road,"Kathmandu 44600, ",   Bagmati Zone,+977 984-1219339,7:00 AM - 10:00 PM,"Nepali, Vegan Options, Vegetarian Friendly",Restaurant Details,27.71141,85.308783,Mitho Restaurant.jpg,NPRÂ 664
13,13,14,Places Restaurant & Bar,"
Places - or Thau (à¤ à¤¾à¤‰à¤) - is a cosy vegetarian restaurant quietly situated on Seven Corners, a side-street of the busy Thamel area. Whether you come in groups to hangout or alone to work on your travel photos, Places offers a relaxed environment. Places is run by Pradip and Sanjay.
",Saath Ghumti Marga,"Kathmandu 44600, ",   Bagmati Zone,+977 1-4700413,9:00 AM - 11:00 PM,", Asian, Nepali",Restaurant and Bar Details,27.715843,85.309555,Places Restaurant & Bar.jpg,"NPRÂ 1,661 -
NPRÂ 3,321"
14,14,15,La Casita De,"
Spanish Home Style Restaurant Inside the Awasome Boudha Stupa. In La Casita you can enjoy one of The best views of Boudha and all The Monasteries at the Mountains . Its like a small Oasis where enjoy a Coffee or any of our Great juices, mocktails or cocktails at the rooftop . In La Casita you can experiment The real Spanish taste of food and Tapas. Best selection of Spanish menu feeling at home. SATURDAY CLOSED FOR STAFF HOLIDAYS.
",6 Boudhanth,"Kathmandu 44600, ",   Bagmati Zone,+977 981-3614384,12:30 PM - 9:30 PM,"Mediterranean, Spanish, Vegan Options",Restaurant ,0,0,La Casita De Boudhanath.jpg,NPRÂ 886
15,15,16,The Ship Restaurant Bar and Lounge,"
When the sun shines, which is often in Kathmandu, our delicious food can be served to our rooftop garden, on our upper decks and our main promenade. This provides a more casual approach to the Ship's dining experience and there are spaces for over 60 diners to enjoy the Kathmandu sunshine. Our main restaurant rooms provide comfort for all our guests in well spaced and uncluttered tables. Our menu has been designed so that all food can be prepared from fresh and delivered to the table within 30 minutes of ordering. All foods whenever possible are organically produced from local sources and will be served by young, enthusiastic and motivated people. Most are students taking their diplomas at a local Hotel Management college and it is the founders aim to help the education of the young.The Ship will assist in this education and will help promote the empowerment of women by providing a vehicle for on the job training and learning as well as providing in house development. Our emphasis will be on quality. Quality of food, quality of service and quality of surroundings, this emphasis will not be compromised. We believe that dining at 'The Ship' will be an unforgettable experience unrivalled in Kathmandu and we look forward to pushing the culinary boundaries of the dining culture within Nepal.
",Amrit Marg,"Kathmandu 0977, ",   Bagmati Zone,+977 1-4412561,9:00 AM - 10:00 PM,"Indian, European",Restaurant and Bar ,27.717065,85.313,The Ship Restaurant Bar and Lounge.jpg,"NPRÂ 332 -
NPRÂ 1,993"
16,16,17,Kathmandu Grill Restaurent & Wine Bar,"
Mix of Asian and Western menu with more than 50 precisely selected delicious recipes in great ambiances of Nepalese art & architecture of outside and inside seating areas in Thamel. You will have a Himalayan Organic freshly roasted coffee with the great varieties of breakfast in the morning or dinner in the evening. Kathmandu Grill & Wine Bar offers unforgettable taste of pork or lam or chicken grill with exclusive choice of world class wine. In addition you have an option of multiple recipe of Indian menu crispy nan and tandoori. Restaurant is featured with 200 people capacity with garden seating area, private dining, smoking and non smoking area, a meeting hall of 40 people capacities & Free WIFI from 2 dedicated lines.
","Thamel, Golkopakha","Kathmandu 20062, ",   Bagmati Zone,+977 1-4440476,7:00 AM - 10:00 PM,"Barbecue, International, Grill",Restaurant ,27.718601,85.312239,Kathmandu Grill Restaurent & Wine Bar.jpg,"NPRÂ 775 -
NPRÂ 1,661"
17,17,18,Hello Kitty Restaurant,"
Hello Kitty Restaurant is located at central city heart of Thamel Kathmandu. For the finest Chinese, Thai and Nepal food.
",Thamel Road,"Kathmandu 44600, ",   Bagmati Zone,+977 985-1017030,6:30 AM - 10:00 PM,"Chinese, Indian, Asian",Restaurant ,27.717301,85.312297,Hello Kitty Restaurant.jpg,NPRÂ 996
18,18,19,Yangling Tibetan Restaurant,"
",,"Kathmandu 44600, ",   Bagmati Zone,+977 1-4257408,12:00 PM - 9:00 PM,"Chinese, Asian, Tibetan",Restaurant ,27.715977,85.307141,Yangling Tibetan Restaurant.jpg,NPRÂ 996
19,19,20,Mahaaja,"
","Mahaaja, Thaitiy, Thamel","Kathmandu 44600, ",   Bagmati Zone,+977 981-3603972,12:00 PM - 9:00 PM,"Japanese, Asian, Nepali",Restaurant ,27.710488,85.31134,Mahaaja.jpg,NPRÂ 996
20,20,21,Western Kitchen,"
Western kitchen is always focous for quality & hygine food, friendly service with reasonable price, open kitchen, the guest can see how we are preparing their food.
",Chhetrapati,"Kathmandu 44600, ",   Bagmati Zone,+977 985-1195357,7:00 AM - 10:00 PM,"Italian, American, European",Restaurant ,27.711247,85.308775,Western Kitchen.jpg,"NPRÂ 332 -
NPRÂ 1,661"
21,21,22,Fusion Kitchen Restaurant,"
The 'Fusion Kitchen Restaurant ' is located at the chussia Galli and next to Hotel Holy Himalaya . Our focus will be on quality. Quality of food, quality of service and quality of hospitality, We will serve Nepali, Continental , Chinese, Indian and Italian Food with real taste on reasonable cost .
",29 Thamel,"Kathmandu 44600, ",   Bagmati Zone,+977 1-4250614,7:00 AM - 10:00 PM,"Indian, Asian, Nepali",Restaurant ,27.712948,85.312699,Fusion Kitchen Restaurant.jpg,NPRÂ 664
22,22,23,Green Organic Cafe and Farmers Bar,"
Welcome to GREEN ORGANIC CAFE AND FARMERS BAR. This cafe has its own farms in three different locations;from where the vegetables, grains, dairy, fruits are produced and delivered. The restaurant is three storied with garden terrace, hi-speed free wi-fi, bar, natural decorated, clean rest room separate for female. Freshly prepared Soup and Salad are No. 1 here. Veg. and non-veg. both are welcome. Location is just opposite of Road house cafe, Thamel.
",Thamel,"Kathmandu 44600, ",   Bagmati Zone,+977 1-4215726,7:00 AM - 10:00 PM,"Nepali, International","Restaurant, Cafe ",27.71436,85.310166,Green Organic Cafe and Farmers Bar.jpg,"NPRÂ 664 -
NPRÂ 996"
23,23,24,Revolution Cafe & Restaurant,"
Revolution Cafe is your home away from home when visiting Kathmandu. We're known for cheap eats, friendly faces, and our galactic menu of options for all. The Cafe is open early and closes late 7 days a week so we'll always be open for Breakfast, Lunch, Dinner or a late snack. We even deliver to businesses and hotels throughout Thamel! We love what we do and that has made us a favorite among locals and tourists alike. Come on by... We would love to have you!!! P.S. Free Wifi
","Amrit Marg, Thamel","Kathmandu 44600, ",   Bagmati Zone,+977 1-4433630,7:00 AM - 10:00 PM,European,"Restaurant, Bar, Cafe ",27.715141,85.312515,Revolution Cafe & Restaurant.jpg,NPRÂ 554
24,24,25,chez caroline,"
",Tanka Prasad Ghumti Road,"Kathmandu 44600, ",   Bagmati Zone,+977 1-4263070,9:00 AM - 11:00 PM,"French, European, Vegan Options",Restaurant Details,27.694484,85.322662,chez caroline.jpg,"NPRÂ 2,214 -
NPRÂ 6,642"
25,25,26,Pilgrims 24 Restaurant & Bar,"
Pilgrims 24 Restaurant (Formerly Pilgrims feed 'N' read) Pilgrims 24 is Kathmandu's favourite restaurant. (Formally Pilgrims feed 'N' read) Restaurant. Since opening in 2013, our aim has been simple - to welcome everyone with satisfying, delicious food which is also very good for you! All dishes are prepared to order by Baba Pilgrim and his kitchen using fresh natural ingredients, and techniques which preserve taste and nutritional value. This level of personal attention means that if you have a special request or particular dietary requirements we can make something just for you. Our food is low-fat, low-salt, non-GM and organic where possible. Some dishes we never deep-fry or microwave. A visit to Pilgrims 24 is a unique dining experience. We look forward to welcoming you! Never End Peace And Love.
","Kwabahal, Thamel Area","Kathmandu 44600, ",   Bagmati Zone,+977 984-1235020,9:00 AM - 11:00 PM,"Asian, Nepali, Indian",Restaurant Details,27.711784,85.311177,Pilgrims 24 Restaurant & Bar.jpg,"NPRÂ 2,214 -
NPRÂ 6,642"
26,26,27,Pizza King,"
We are opened at the heart of Thamel, In a quiet Alley that leads From Maya Cocktail, Our Store is Next to Buddha Bar. we feel proud and honored to serve ""Fresh Ingredients and fresh pizza"" to our valued customers. Beside Pizza we have fries, kings Special grilled wings, Hot wings and Wraps and much more special items to try from. we do serve freshly made pizza slices too.
","Narsingh Chowk, Thamel","Kathmandu 44600, ",   Bagmati Zone,+977 1-4701154,11:00 AM - 11:00 PM,"Italian, Pizza","Restaurant, Fast FoodDetails",27.714511,85.310675,Pizza King.jpg,"NPRÂ 332 -
NPRÂ 554"
27,27,28,Third Eye Restaurant,"
",JP Road,"Kathmandu 44600, ",   Bagmati Zone,+977 1-4260289,10:00 AM - 10:00 PM,"Indian, Fusion, Nepali",Restaurant Details,27.714391,85.310198,Third Eye Restaurant.jpg,"NPRÂ 332 -
NPRÂ 554"
28,28,29,OR2K,"
",Thamel,"Kathmandu 44600, ",   Bagmati Zone,4422097,8:00 AM - 11:00 PM,"Indian, Mediterranean, European",Restaurant Details,27.714824,85.310903,OR2K.jpg,"NPRÂ 554 -
NPRÂ 1,107"
29,29,30,Japanese Kitchen Kizuna,"
Special we serve japanese food
",Thamel Square,"Kathmandu, ",   Bagmati Zone,+977 981-8970583,10:00 AM - 8:00 PM,"Japanese, Asian",Restaurant Details,27.71395,85.310341,Japanese Kitchen Kizuna.jpg,"NPRÂ 221 -
NPRÂ 554"
30,30,31,Beans The Coffee Shop,"
","Durbar Square - 13, Bhaktapur","Bhaktapur 44800, ",   Bagmati Zone,+977 1-6618266,7:00 AM - 9:00 PM, Vegetarian Friendly,Restaurant and Cafe Details,27.671589,85.428326,Beans The Coffee Shop.jpg,"NPRÂ 221 -
NPRÂ 554"
31,31,32,Mayur Restaurant,"
Peacock Guest House has introduced its own in-house restaurant Mayur Restaurant. Mayur means Peacock and we serve breakfast/ lunch and dinner. We are serving simple asian dishes to western desserts/snacks. For beverages, we have the famous Illy coffee, Italian wines as well as bar drinks like cocktails and cocktails. Opening hours are from 7am-9pm.
",Dattretraya Square Bhaktapur,"Bhaktapur 44800, ",   Bagmati Zone,+977 1-6611829,9:00 AM - 8:30 PM,"Asian, Nepali, Vegetarian Friendly",Restaurant Details,27.673302,85.434876,Mayur Restaurant.jpg,"NPRÂ 332 -
NPRÂ 664"
32,32,33,Peaceful Restaurant,"
","Dattatreya Square, Bhatgaon-09","Bhaktapur 44800, ",   Bagmati Zone,+977 984-1231795,11:00 AM - 9:00 PM,"Indian, European, Asian",Restaurant Details,27.673295,85.435036,Peaceful Restaurant.jpg,NPRÂ 332
33,33,34,La Bella Nepali Restaurant,"
""La Bella Nepali"" Restaurant (Nepalplanet, Planet Bhaktapur Hotel) is located into The Planet Bhaktapur Hotel. Restaurant, Garden, Roof top. Good food and smiles.
",7 Mandev Marg,"Bhaktapur 44800, ",   Bagmati Zone,+977 1-6616038,10:00 AM - 9:30 PM,"Italian, International, Nepali",Restaurant Details,27.681955,85.430474,La Bella Nepali Restaurant.jpg,"NPRÂ 664 -
NPRÂ 1,661"
34,34,35,Shiva's Cafe Corner,"
The culinary delights here range from Newari and Nepali Dal Bhat to Chinese, Mexican, Italian, Indian and Continental delicacies. And when comes the question of the quality of our culinary offerings. We never forget Hygiene is our top priority. Adding to the mesmerizing ambience, we also have min-garden from which you can savor the splendor of nature's graciousness all around on the south, the bliss you feel at Shiva's cafe corner is something different. We do have Himalayan organice beans, instant, and filter coffee and also available italian LAVAZZA coffee. With additional different flavours of organice herbal tea.
",Durbar Square-8,"Bhaktapur 44500, ",   Bagmati Zone,+977 1-6613912,7:30 AM - 9:00 PM,"Asian, Nepali, Vegetarian Friendly",Restaurant Details,27.671746,85.428636,Shiva's Cafe Corner.jpg,"NPRÂ 443 -
NPRÂ 664"
35,35,36,Daily Grind,"
",Darbur Square,"Bhaktapur 44800, ",   Bagmati Zone,+977 984-1921014,7:30 AM - 9:00 PM," European, Vegetarian Friendly","Restaurant,Cafe Details",34.428691,-119.717275,Daily Grind.jpg,"NPRÂ 664 -
NPRÂ 886"
36,36,37,The Garuda Bar,"
The garuda bar is one of its kind premium outlet located in the heart of bhaktapur.This bar serves numerous choices of drinks along with its signature drinks.Quality food and service is the priority in this bar.It provides an extraordinary view of the ancient city of bhaktapur covering the entire taumadhi square which is why its called ""Jewel of Bhaktapur"".The outlet is entirely tourist friendly.
",Taumadhi square,"Bhaktapur 44800, ",   Bagmati Zone,+977 1-6610488,9:00 AM - 10:00 PM," Asian, Contemporary","Restaurant,Bar Details",27.670811,85.428794,The Garuda Bar.jpg,"NPRÂ 332 -
NPRÂ 886"
37,37,38,Himalayan Bakery,"
Himalayan Bakery is a small cafe that offers a variety of Muffins, Cupcakes and sandwiches at an affordable prices.We do also House Red and White Wine. It has also Illy Coffe bar, offering the best of Italian espresso coffees. The Bakery is in part of Peacock Guest House,which is in a 15th Century Newari Building. Do drop in for a splendid bite of muffin and the best of Coffee and wine.
",Dattatreya Square,"Bhaktapur 44800, ",   Bagmati Zone,+977 1-6611829,7:00 AM - 8:30 PM,,Restaurant Details,28.598316,83.931062,Himalayan Bakery.jpg,"NPRÂ 332 -
NPRÂ 886"
38,38,39,Cafe Nyatapola,"
",Taumadhi Tole,"Bhaktapur 44800, ",   Bagmati Zone,+977 1-6610346,7:00 AM - 8:30 PM," Asian, Nepali","Restaurant,Cafe Details",27.67103,85.429138,Cafe Nyatapola.jpg,"NPRÂ 332 -
NPRÂ 886"
39,39,40,Coffee in Style,"
We offer all kind of espresso drinks,Iced Beverages, Blended drinks, cold drinks along with the breakfast and lunch..........
","Kwachhen-8,Bhaktapur","Bhaktapur 00977, ",   Bagmati Zone,+977 984-1130591,7:00 AM - 8:30 PM,"American, Asian","Restaurant,Cafe Details",27.671342,85.430044,Coffee in Style.jpg,"NPRÂ 1,107"
40,40,41,Newa Chhen Restaurant,"
",Tachupal Tole,"Bhaktapur 44800, ",   Central Region,#NAME?,7:00 AM - 8:30 PM,"Asian, Nepali, Vegetarian Friendly",Restaurant Details,-27.458903,152.99923,Newa Chhen Restaurant.jpg,"NPRÂ 1,107"
41,41,42,Kutumba Restaurant,"
",Barahipith,"Bhaktapur 44800, ",   Bagmati Zone,+977 1-6611628,6:00 AM - 10:00 PM,"Asian, Italian, Chinese",Restaurant Details,0,0,Kutumba Restaurant.jpg,"NPRÂ 1,107"
42,42,43,The Pottery,"
",,"Bhaktapur 44800, ",   Bagmati Zone,+977 986-0025445,6:00 AM - 10:00 PM,"Asian, Nepali","Restaurant, Bar Details",35.600838,-92.461842,The Pottery.jpg,NPRÂ 554
43,43,44,Downtown Pub & Grill,"
A Premium Eatery & Pub.
",,"Bhaktapur, ",   Bagmati Zone,+977 984-3170229,6:00 AM - 10:00 PM,"Chinese, Indian, European",Restaurant Details,37.034766,-95.6163,Downtown Pub & Grill.jpg,"NPRÂ 886 -
NPRÂ 3,321"
44,44,45,Sunny Restaurant and Cosy Bar,"
Located on the roof of the hotel, right in the center of the old city, Sunny restaurant is constantly developing and adapting along with the desires of the clientele, offering a relaxing environment.Breakfast on the roof top of the building or in the lobby area, a snack while admiring the daily life of inhabitants, a cocktail at the bar, an aperitif enjoying the sunset, a dinner on the terrace, a midnight snackâ€¦
",Pottery Square,"Bhaktapur 44800, ",   Bagmati Zone,+977 1-6616333,7:00 AM - 9:00 PM,European,Restaurant Details,27.670121,85.428303,Sunny Restaurant and Cosy Bar.jpg,"NPRÂ 554 -
NPRÂ 886"
45,45,46,Cafe Beyond,"
",15 Itachhen,"Bhaktapur 44800, ",   Bagmati Zone,+977 1-6620622,7:00 AM - 9:00 PM," Asian, Korean","Restaurant,Cafe Details",40.740219,-73.994546,Cafe Beyond.jpg,"NPRÂ 554 -
NPRÂ 886"
46,46,47,Freshpresso Coffee Bar,"
Freshpresso coffee bar is located in the heart of bhaktapur, serving varieties of espresso beverage and several other drinks.
",,"Bhaktapur 44800, ",   Bagmati Zone,+977 984-9696822,7:00 AM - 8:30 PM,"Italian, Chinese, American",Restaurant Details,17.326878,76.832848,Freshpresso Coffee Bar.jpg,NPRÂ 554
47,47,48,Watshala Garden Restaurant,"
",Bhaktapur Durbar square,"Bhaktapur 00977, ",   Bagmati Zone,+977 1-6610957,7:00 AM - 9:00 PM,"Nepali, International, Asian",Restaurant Details,27.671711,85.42876,Watshala Garden Restaurant.jpg,NPRÂ 554
48,48,49,Sunny Restaurant,"
",Taumadhi Tole,"Bhaktapur 44800, ",   Central Region,#NAME?,7:00 AM - 9:00 PM,Asian,Restaurant Details,43.096977,-75.216897,Sunny Restaurant.jpg,NPRÂ 554
49,49,50,Namaste Restaurant & Illy Cafe,"
",Taumadhi Square,"Bhaktapur 44800, ",   Central Region,#NAME?,7:00 AM - 9:00 PM,,Restaurant Details,27.671239,85.429511,Namaste Restaurant & Illy Cafe.jpg,NPRÂ 554
50,50,51,de' Arena Restaurant,"
","Dattatraye - 3, Bhaktapur","Bhaktapur 44800, ",   Bagmati Zone,+977 985-1160188,8:00 AM - 10:00 PM,"Italian, Indian, Nepali",Restaurant Details,27.673514,85.434526,de' Arena Restaurant.jpg,NPRÂ 996
51,51,52,Aalucha,"
Experience new potato taste at Aalucha. The mexican and Nepali mix will make you crave for more.
","Durbar Squre, Bhaktapur","Bhaktapur 44800, ",   Bagmati Zone,+977 986-0108771,11:30 AM - 8:00 PM,"Mexican, Asian, Nepali",Restaurant Details,27.671614,85.428257,Aalucha.jpg,NPRÂ 332
52,52,53,Black Olive Restaurant and Bar,"
",Taumadhi Square,"Bhaktapur 44800, ",   Bagmati Zone,+977 1-6620144,8:00 AM - 9:00 PM,"Italian, Chinese, Indian",Restaurant Details,27.671361,85.429863,Black Olive Restaurant and Bar.jpg,NPRÂ 332
53,53,54,Bhajya Pukhu Coffee,"
A normal coffee shop located just opposite of Siddha Pokhari, where you can enjoy fresh and delightful coffee made from pure Nepali beans. A fresh environment with great coffee sums it all up.
","Dudhpati, Bhaktapur","Bhaktapur 44800, ",   Bagmati Zone,+977 985-1199299,7:00 AM - 7:00 PM,,"Restaurant,Cafe Details",27.671326,85.421285,Bhajya Pukhu Coffee.jpg,NPRÂ 554
54,54,55,Big Bell Guest House,"
",Tachupal Tole,"Bhaktapur 44800, ",   Bagmati Zone,+977 1-6611675,7:00 AM - 7:00 PM,,Restaurant Details,39.754509,-94.212744,Big Bell Guest House.jpg,NPRÂ 554
55,55,56,Cafe D'Traditional Resturant,"
",Bhaktapur Square,"Bhaktapur 44800, ",   Central Region,#NAME?,11:00 AM - 9:00 PM,"Asian, Nepali, Vegetarian Friendly",Restaurant Details,27.672804,85.425446,Cafe D'Traditional Resturant.jpg,NPRÂ 554
56,56,57,Yatu Crimson Cafe,"
",4 Kamalvinayak,"Bhaktapur 44800, ",   Bagmati Zone,+977 1-6612664,11:00 AM - 9:00 PM,,Restaurant Details,27.676709,85.439114,Yatu Crimson Cafe.jpg,NPRÂ 554
57,57,58,Bhaktapur,"
",Kwachhen Near Taumadhi Square,"Bhaktapur 44800, ",   Bagmati Zone,+977 1-6611088,11:00 AM - 9:00 PM,,Restaurant Details,27.670907,85.429094,Bhaktapur.jpg,NPRÂ 554
58,58,59,Peacock Restaurant,"
",,"Bhaktapur 44800, ",   Bagmati Zone,+977 1-6615193,11:00 AM - 9:00 PM,"Asian, Nepali",Restaurant Details,36.507543,-94.281727,Peacock Restaurant.jpg,NPRÂ 554
59,59,60,D'Ja Cafe & Sports Bar with Rooftop Restaurant,"
",,"Bhaktapur 44800, ",   Bagmati Zone,+977 1-6617378,11:00 AM - 9:00 PM,"Chinese, Indian, Italian",Restaurant Details,27.671935,85.430069,D'Ja Cafe & Sports Bar with Rooftop Restaurant.jpg,NPRÂ 554
60,60,61,El Mediterraneo,"
First Spanish Restaurant in Kathmandu, Nepal with the experience of a fine dine along with variety of tapas and mediterranean cuisine.
",Jhamshikhel,"Patan (Lalitpur) 44700, ",   Bagmati Zone,+977 1-5527059,12:30 PM - 9:00 PM,"Mediterranean, European, Spanish",Restaurant Details,27.678483,85.310726,El Mediterraneo.jpg,NPRÂ 775
61,61,62,Tasneem's Kings Kitchen,"
Tasneemâ€™s Kings Kitchen brings to you authentic Bohra Muslim cuisine cooked the dum-pukht way with charcoals over a slow-fire technique associated to royal kitchens of Awadh. Bohra Muslims are said to have migrated originally from Yemen to Gujarat. They are firm believers in the maxim: â€œThe family that eats together, stays together.â€ Our fare prepared from recipes passed down the family tree, offer you a chance to taste the great Bohra Muslim culinary delights, prepared by traditional Ustads from Kings Kitchen, Mumbai. Hope you enjoy the fare.
",Jhamshikhel Road,"Patan (Lalitpur), ",   Bagmati Zone,+977 980-1282727,11:00 AM - 10:00 PM,"Indian, Asian, Vegetarian Friendly",Restaurant Details,27.675693,85.315108,Tasneem's Kings Kitchen.jpg,NPRÂ 775
