,Unnamed: 0,Number,P_Name,Desc,locality,District,Zone,Contact_No,Openig_Time,Popular_for,Category,Latitude,Longitude,img_path,Charge
10,10,11,Kathmandu Boutique Hotel,,",","Kathmandu 00977, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast included,Air Conditioning,Non-Smoking Rooms,Airport Transportation,Room Service,Suites,Bar/Lounge,Laundry Service,Rooftop Terrace,Private Balcony",Kathmandu B&Bs / Inns,27.71005,85.307899,Kathmandu Boutique Hotel.jpg,"NPR†1,216 - NPR†2,100 (Based on Average Rates for a Standard Room) "
11,11,12,Blue Mountain Homestay,"All are quite room, free breakfast, free wifi, 24 hour hot and cold water, pick up from Kathmandu airport for a fee, families environmental. ...MoreAll are quite room, free breakfast, free wifi, 24 hour hot and cold water, pick up from Kathmandu airport for a fee, families environmental. ...MoreLess","Galkopakah 29,Galkopakah 29Thamel Galkopaka","Kathmandu 0977, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast included,Non-Smoking Rooms,Airport Transportation,Family Rooms,Rooftop Terrace,Free Parking,Air Conditioning,Pool,Restaurant,Room Service,Rooftop Bar,Fitness center",Kathmandu B&Bs / Inns,27.71539,85.312329,Blue Mountain Homestay.jpg,"NPR†1,216 - NPR†2,100 (Based on Average Rates for a Standard Room) "
12,12,13,Hotel Yambu,"Hotel Yambu is one of the best hotel in Thamel because it has best room ,very clean, very nice restaurant, very nice roof top from where you can see whole Kathmandu valley. It is in best location central of ...MoreHotel Yambu is one of the best hotel in Thamel because it has best room ,very clean, very nice restaurant, very nice roof top from where you can see whole Kathmandu valley. It is in best location central of ...MoreKathmandu City.Hotel has very best travel desk as well. Once you stay in Hotel Yambu, you will remember to comeback again. Less","Lekhnath Marg, Lainchour, Thamel,Lekhnath Marg, Lainchour, ThamelThamel,","Kathmandu 44600, ",Bagmati Zone,984-1326314,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Air Conditioning,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service,Suites,Bar/Lounge,Concierge,Dry Cleaning,Rooftop Terrace,Babysitting,Private Balcony",Kathmandu B&Bs / Inns,27.717805,85.311344,Hotel Yambu.jpg,"NPR†1,216 - NPR†2,100 (Based on Average Rates for a Standard Room) "
13,13,14,Hotel Friends Home,"Located in the eastern part of Thamel in Kathmandu, Hotel Friends Home offers genuinely friendly accommodation to all kinds of travelers, with a spirit of newness and constant innovation in its services. ...MoreLocated in the eastern part of Thamel in Kathmandu, Hotel Friends Home offers genuinely friendly accommodation to all kinds of travelers, with a spirit of newness and constant innovation in its services. ...MoreFrom the moment you check in at this family-friendly hotel, the amiable staff will readily receive you with the warmth of Nepalese hospitality and dedicate themselves to make your stay as cozy and comfortable as you want it to be. In short, Hotel Friends Home provides one of the best retreats in central Kathmandu and also caters to all of your travel plans in Nepal including activities like hiking, trekking, sightseeing, rafting, jungle safari, cultural tours, day tours, etc. Less",",Chhushya Galli, Jyatha Road, Kantipur temple house is next to us.","Kathmandu 4600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast included,Air Conditioning,Non-Smoking Hotel,Restaurant,Airport Transportation,Room Service,Bar/Lounge,Concierge,Dry Cleaning,Rooftop Terrace,Free Parking,Pool",Kathmandu Hotels,27.711352,85.313079,Hotel Friends Home.jpg,"NPR†1,216 - NPR†2,100 (Based on Average Rates for a Standard Room) "
14,14,15,Pilgrims Guest House,,"Thamel, Lekhnath Marg,Thamel, Lekhnath MargKathmandu, Nepal","Kathmandu 19549, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Air Conditioning,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service, Suites , Dry Cleaning , Shuttle Bus Service , Private Balcony ,Star rating provided by Expedia.2 Star Hotel ",Kathmandu B&Bs / Inns,27.717586,85.311703,Pilgrims Guest House.jpg,"NPR†1,547 - NPR†2,652 (Based on Average Rates for a Standard Room) "
15,15,16,Hotel Ganesh Himal,"Sit back and relax in one of the hotel's 11 guestrooms, all designed with guests' comfort in mind. Every room in the hotel offers guests television, hair dryer, internet access ‚Äì LAN (complimentary), in house ...MoreSit back and relax in one of the hotel's 11 guestrooms, all designed with guests' comfort in mind. Every room in the hotel offers guests television, hair dryer, internet access ‚Äì LAN (complimentary), in house ...Moremovies. This excellent hotel in Kathmandu also has 24hr room service, restaurant, bar/pub. Guests may make use of the hotel's excellent recreational and leisure facilities including garden. Offering guests quality accommodation since 2009, this hotel combines first-class service and the most modern facilities. To make your reservation at Hotel Backpackers Kathmandu, just enter your travel dates on our secure online booking form and submit. Less","Chhetrapati,ChhetrapatiChhetrapati","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Air Conditioning,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service,Family Rooms,Concierge,Dry Cleaning,Rooftop Terrace,Free Parking,Breakfast included,Pool",Kathmandu Hotels,27.709892,85.30662,Hotel Ganesh Himal.jpg,"NPR†1,547 - NPR†2,652 (Based on Average Rates for a Standard Room) "
16,16,17,Hotel Encounter Nepal,,"Samakhusi Marg,Samakhusi MargThamel, Galkopakha","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Breakfast Buffet,Air Conditioning,Non-Smoking Rooms,Restaurant,Airport Transportation, Room Service , Suites , Bar/Lounge , Concierge , Spa , Meeting Rooms , Dry Cleaning , Rooftop Terrace , Shuttle Bus Service , Private Balcony ,Star rating provided by Expedia.3 Star Hotel ",Kathmandu Hotels,27.71878,85.31229,Hotel Encounter Nepal.jpg,"NPR†2,542 - NPR†7,073 (Based on Average Rates for a Standard Room) "
17,17,18,Kathmandu Guest House,"Journey is a deep ingrained memory - an experience to reminisce, an escapade to cherish, a secret to smile over. You recall, you talk, you laugh, you ponder - you face a whole range of emotions over that ...MoreJourney is a deep ingrained memory - an experience to reminisce, an escapade to cherish, a secret to smile over. You recall, you talk, you laugh, you ponder - you face a whole range of emotions over that ...More""particular incident"" in that ""particular hotel."" Your memory is all the more enriched when something happens in a special hotel. In KGH you can be assured that your memory is highlight that will sparkle throughout your life. Less","no. 16 KGH Square, Ward,no. 16 KGH Square, Ward","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast included,Air Conditioning,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service,Suites,Bar/Lounge,Concierge,Business Center,Dry Cleaning,Shuttle Bus Service,Private Balcony",Kathmandu Hotels,27.717245,85.32396,Kathmandu Guest House.jpg,"NPR†2,542 - NPR†7,073 (Based on Average Rates for a Standard Room) "
18,18,19,Hotel Buddha Land,,"30 Thamel Jyatha,30 Thamel JyathaPO Box 25852","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Non-Smoking Rooms,Airport Transportation,Concierge,Laundry Service,Free Parking,Breakfast included,Star rating provided by Expedia.3 Star Hotel ",Kathmandu B&Bs / Inns,27.711918,85.312888,Hotel Buddha Land.jpg,"NPR†1,547 - NPR†2,431 (Based on Average Rates for a Standard Room) "
19,19,20,OYO 11477 Backyard Hotel,"Backyard Hotel is situated in a bustling tourist area of Thamel in a very convenient location for everything that a tourist might be looking for, the best restaurants, shopping, the best bookshops and the ...MoreBackyard Hotel is situated in a bustling tourist area of Thamel in a very convenient location for everything that a tourist might be looking for, the best restaurants, shopping, the best bookshops and the ...Moretourist bus stop. This 40 roomed hotel offers excellent service in a clean and comfortable environment where you will find people eager to please you all the time. Mixed dormitory, budget, standard, deluxe and super deluxe rooms are available for booking. Just 5 km away from the TIA, a airport pickup is provided by the hotel with a surcharge if requested in advance via e-mail. Less","Chibihal Street, Thamel,Chibihal Street, ThamelThamel","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast included,Air Conditioning,Non-Smoking Rooms,Restaurant,Room Service,Suites,Bar/Lounge,Concierge,Dry Cleaning,Rooftop Terrace,Free Parking,Pool",Kathmandu Hotels,27.713192,85.311337,OYO 11477 Backyard Hotel.jpg,"NPR†1,547 - NPR†2,431 (Based on Average Rates for a Standard Room) "
20,20,21,Kantipur Temple House,,"Chusyabahal, Jyatha Tol,Chusyabahal, Jyatha TolThamel","Kathmandu 44600, ",Bagmati Zone,01-4250131,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast Buffet,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service,Family Rooms, Concierge , Dry Cleaning ,Star rating provided by Expedia.3 Star Hotel ",Kathmandu Hotels,27.711352,85.313079,Kantipur Temple House.jpg,"NPR†5,304 - NPR†13,593 (Based on Average Rates for a Standard Room) "
21,21,22,Tibet Peace Inn,"A new budget hotel at the heart of Kathmandu, Tibet Peace Inn aspires to serve you as the premier destination for experiencing warm hospitality, and to let you make online reservation securely. We respect ...MoreA new budget hotel at the heart of Kathmandu, Tibet Peace Inn aspires to serve you as the premier destination for experiencing warm hospitality, and to let you make online reservation securely. We respect ...Moreyour right to comfort, so every nook and corner of the hotel is built with care - all to enhance your experience of staying with us. Less",",Paknajol, Thamel","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast included,Air Conditioning,Non-Smoking Hotel,Airport Transportation,Family Rooms,Concierge,Dry Cleaning,Rooftop Terrace,Free Parking,Pool,Restaurant,Room Service",Kathmandu B&Bs / Inns,27.716688,85.308691,Tibet Peace Inn.jpg,"NPR†5,304 - NPR†13,593 (Based on Average Rates for a Standard Room) "
22,22,23,Alpine Hotel & Apartment,,"Chaksibari Marg,Chaksibari MargThamel","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,,Kathmandu Hotels,27.717571,85.310654,Alpine Hotel & Apartment.jpg,"NPR†1,879 - NPR†2,984 (Based on Average Rates for a Standard Room) "
23,23,24,Hotel Amaryllis,,"Tridevi Marg, Thamel,Tridevi Marg, Thamel","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Breakfast included,Air Conditioning,Non-Smoking Hotel,Restaurant,Airport Transportation, Room Service , Suites , Bar/Lounge , Concierge , Wheelchair access , Dry Cleaning , Shuttle Bus Service ,Star rating provided by Expedia.3 Star Hotel ",Kathmandu B&Bs / Inns,27.714835,85.313221,Hotel Amaryllis.jpg,"NPR†1,879 - NPR†3,647 (Based on Average Rates for a Standard Room) "
24,24,25,Kathmandu Eco Hotel,"Kathmandu Eco Hotel is a 2-minute walk from the Thamel Tourist Market. Kathmandu Durbar Square is 1 km from the hotel while Pashupatinath Temple is 5 km away. Tribhuvan International Airport is located 7 km from ...MoreKathmandu Eco Hotel is a 2-minute walk from the Thamel Tourist Market. Kathmandu Durbar Square is 1 km from the hotel while Pashupatinath Temple is 5 km away. Tribhuvan International Airport is located 7 km from ...Morethe hotel. Featuring rooms with a private bathroom, Kathmandu Eco Hotel is located at Thamel, the bustling tourist hub of Kathmandu. A rooftop area with dining tables and chairs and free Wi-Fi is available. Stay in a fan-cooled or air-conditioned room with a flat-screen satellite TV, seating area and electric kettle. A private bathroom comes with a hot and cold shower. Guests have access to a 24-hour reception and free private parking. Laundry and shuttle services are available at an extra cost. Eco Restaurant specialises in Nepali, Indian and Continental cuisines. It also has a fully stocked bar. Less","Thamel,Thamel","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast included,Air Conditioning,Non-Smoking Hotel,Restaurant,Free Airport Transportation,Room Service,Suites,Bar/Lounge,Concierge,Business Center,Dry Cleaning,Rooftop Terrace,Shuttle Bus Service, Babysitting , Private Balcony ",Kathmandu Hotels,27.716346,85.311717,Kathmandu Eco Hotel.jpg,"NPR†1,879 - NPR†3,647 (Based on Average Rates for a Standard Room) "
25,25,26,Hotel Thamel,"Located centrally in the popular tourist area ,Hotel Thamel offers homely and friendly environment to make anyone feel like their own home.The name of the hotel is itself taken from the place this hotel is ...MoreLocated centrally in the popular tourist area ,Hotel Thamel offers homely and friendly environment to make anyone feel like their own home.The name of the hotel is itself taken from the place this hotel is ...Morelocated.     Hotel Thamel is 15 mins drive from airport and is in a walking distance from most of the attractions like monkey temple, Garden of Dreams, King Palace and Durbar square.     Hotel Thamel is one of the hotel in Thamel area with private sunny balcony in guest rooms. All the rooms are well furnished with modern amenities . To make your stay comfortable , our staff are always ready to help you with a smile on their face.Our well decorated cozy restaurant situated on the ground floor caters a wide selection of cuisines and our roof top garden situated on the sixth floor offers a peaceful relaxing spot to relax and drink a beer, sip tea or coffee     We welcome you at Hotel Thamel where you are not just a guest ,but a sister, a brother and a friend whose necessity and requirements are our most priority.     Facilities 1. Wi-Fi:  High speed WI_FI is available in every corner of the hotel 2. 24 hr room service: 3. Baby sitter and doctor on call 4. Safe Deposit Facility: You can store your valuables in the safe deposit available at the reception areaFree luggage storage: You can leave your luggage at the hotel when you are on a trek 5. Foreign exchange Facility: You can exchange your currency at the reception. 6. Laundry service available 7. Travel Desk: Travel desk assit you in all kinds of tours arrangement, sight seeing , ticketing, vehicle rental and trekking 8. Credit card accepted 9. Hair Dryer: Hair dryer is available on request 10. Newspaper: english news paper are available at the reception 11. Wake up call 12. Restaurant serving continental, mexican, indian, chinese and nepali cuisines Less","Thamel Marg 723/28,Thamel Marg 723/28","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast included,Air Conditioning,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service, Family Rooms , Bar/Lounge , Concierge , Dry Cleaning , Rooftop Terrace , Private Balcony ,Star rating provided by Expedia.2 Star Hotel ",Kathmandu Hotels,27.714458,85.310984,Hotel Thamel.jpg,"NPR†1,879 - NPR†3,647 (Based on Average Rates for a Standard Room) "
26,26,27,Hotel Mi Casa,A home rather than a hotel. Full of charm. Full of character. Bright. Sunny. Quiet. Unique. With lots of local colour. We love to have you here! ...MoreA home rather than a hotel. Full of charm. Full of character. Bright. Sunny. Quiet. Unique. With lots of local colour. We love to have you here! ...MoreLess,"Thamel-29, Tridevi Marg,Thamel-29, Tridevi Marg","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast included,Air Conditioning,Non-Smoking Hotel,Restaurant,Airport Transportation,Suites,Bar/Lounge,Concierge,Pets Allowed,Dry Cleaning,Rooftop Terrace,Shuttle Bus Service,Private Balcony",Kathmandu Hotels,27.714716,85.313347,Hotel Mi Casa.jpg,"NPR†1,879 - NPR†3,647 (Based on Average Rates for a Standard Room) "
27,27,28,Hotel Shanker,,",Lazimpat","Kathmandu 44600, ",Bagmati Zone,01-4410151,9:00 A.M. - 9:00 P.M,,Kathmandu Hotels,27.718908,85.319431,Hotel Shanker.jpg,"NPR†6,520 - NPR†12,267 (Based on Average Rates for a Standard Room) "
28,28,29,Hyatt Regency Kathmandu,,",Taragaon, Boudha","Kathmandu 9609, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Internet,Free Parking,Breakfast Buffet,Pool,Non-Smoking Rooms,Restaurant,Airport Transportation, Room Service , Suites , Poolside Bar , Fitness center , Concierge , Spa , Wheelchair access , Business Center , Dry Cleaning , Tennis Court , Butler Service , Housekeeping , Shuttle Bus Service , Casino , Babysitting ,Star rating provided by Expedia.5 Star Hotel ",Kathmandu Hotels,27.721998,85.357229,Hyatt Regency Kathmandu.jpg,"NPR†15,471 - NPR†23,539 (Based on Average Rates for a Standard Room) "
29,29,30,Dwarika's Hotel,"Built upon a rich tradition of Nepali hospitality and incorporating some of the country‚Äôs most exquisite architectural traditions, The Dwarika‚Äôs Hotel in Kathmandu is an authentic experience of Nepal‚Äôs ...MoreBuilt upon a rich tradition of Nepali hospitality and incorporating some of the country‚Äôs most exquisite architectural traditions, The Dwarika‚Äôs Hotel in Kathmandu is an authentic experience of Nepal‚Äôs ...Moreancient cultural heritage.Originally established as a heritage restoration project, The Dwarika's hotel has become known as Nepal's premier property, and a model for heritage preservation in Nepal and beyond. Less","Battisputali Rd,Battisputali Rd","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Internet,Breakfast Buffet,Air Conditioning,Pool,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service,Suites,Poolside Bar,Fitness center,Concierge,Spa,Business Center, Dry Cleaning , Butler Service ",Kathmandu Hotels,27.70513,85.342262,Dwarika's Hotel.jpg,"NPR†15,471 - NPR†23,539 (Based on Average Rates for a Standard Room) "
