,Number,P_Name,Desc,locality,District,Zone,Category,Latitude,Longitude,Popular_for,img_path,Charge_Per_Head
11,42,"
Everest Base Camp Trek ","Nepal has the ability to provide you with any type of trek suitable for you depending on the length of trek and the motive. Among all those, Everest Base Camp trek falls under top Treking destinations in the world, providing you with life-altering and magnificent Himalayan experiences. The two base camps of the highest mountain on earth are located each on Nepal and Tibet. The South base camp lies on Nepal whereas the North base camp lies on Tibet. “Your attitude, not your aptitude, will determine your altitude” as said by a famous person, people loving high altitude crave to reach a maximum height. Everest base camp on the South is located at an altitude of 5380 meters (17,600 feet). Reaching this altitude is not difficult if you are fit and have a strong determination to reach your destination.","Peregrine Treks and Expeditions,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,3.5,"
Everest Base Camp Trek .jpg","
From NPR�95,811.69
"
12,43,"
Chandragiri Day hiking ","Breathtaking view of Himalayas including Annapurna, Manaslu, Langtang, Ganesh Himal,Dorge Lanpa, Gaurisankar etc Explore Newari Culture, Temples, and life style of people Engage many out door activities like Zip flying, Paraglyding,Pony Riding,etc Valeshwor Temple, Statue of Great King Prithivi Narayan Shah, Shopping etc Chandragiri day hiking in the rim of Kathmandu valley is the pleasant trip for every nature lovers. It is newly introduced tourism destination. Feel like enchanting oasis right outside the from Kathmandu city. You have many ways to get in Chandragiri Hill and the most pilgrims follows two ways cable car from Bottom to top. However, We have designed this trip to Chandragiri is quite differently, following the interesting nature trails.","Himalayan Smile Treks & Adventures - Chandragiri Day Hiking,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,5,"
Chandragiri Day hiking .jpg","
From NPR�10,608.91
"
13,44,"
Everest High Pass TrekRenjo La (5446m), Cho La (5420m) & Kongma La Pass (5535m) ","The main attraction of Everest Three Passes Trek are the three passes – Renjo La (5,446m), Cho La (5,420m) and Kongma La Pass (5,535m).  Though it is a very strenuous trek, it guarantees the exhilarating experience of adventure, perseverance, and excitement. Furthermore, the view from the top is spectacular as one can get the closest possible views of Mt Everest, Lhotse, Cho-yu, and Makalu.  Duration: 19 Days Max Altitude:5555 M Difficulty:Tough Accomodation:Tourist Standard Hotel in Kathmandu with breakfast","Peregrine Treks and Expeditions,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,4,"
Everest High Pass TrekRenjo La (5446m), Cho La (5420m) & Kongma La Pass (5535m) .jpg","
From NPR�103,215.82
"
14,45,"
Everest Base Camp Cho La Pass Trek ","The Gokyo Cho La Pass Treking provides the numerous opportunities to witness the Himalayan range. The glacial lake, Sherpa community culture, glacial rivers and alpine forests are the highlights of the Everest region. Furthermore, the Gokyo Cho La Pass Treking presents the trailers for the peak climbing as well. The aspiring trekkers who are searching for the high altitude madness and wilderness in the bulk of snow comprising of the glacial river and lake, the Gokyo Ri Trek is the best destination to relish that dream. This trek starts from the adventurous flight up to the Lukla from Kathmandu. The majestic mountain range view along the flight would take away all your monotonous and drabness of your life. The Lukla is the gateway to the majestic Mount Everest and most of the trekkers.","Peregrine Treks and Expeditions,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,5,"
Everest Base Camp Cho La Pass Trek .jpg","
From NPR�103,215.82
"
15,46,"
Gokyo Lakes Trek (Gokyo Ri Trek) ","Heaven is in the earth. The Everest Gokyo Lakes trek would take you to the paradise look alike places. Moreover, Gokyo Lakes trek is one of the fascinating places to experience the heaven on earth. Peregrine Treks takes you to this amazing land via Gokyo Lakes Trek package; guided by the experienced member of Sherpa’s, Porters and Guides. The trail consisting of the yak herds and the road less travelled piercing through the Sherpa community would lead you up there in the lake residing proudly beside Mount Everest. In addition, the trip to the Gokyo Lakes trek itself is an adventurous journey. It would be highlighted with the magnificent flight time to one of the world amazing and scariest airport of Lukla.","Peregrine Treks and Expeditions,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,4,"
Gokyo Lakes Trek (Gokyo Ri Trek) .jpg","
From NPR�95,811.69
"
17,48,"
Nagarkot Sunrise and Full Day Hiking From Kathmandu ",Experience your one of the best full day Nagarkot guided trek and amazing sunrise views from Kathmandu in a day.  Early in the morning about 5 O'clock your guide will take you to Nagarkot for sunrise and will start your hoking after the Himalayas breakfast. Nagarkot Offer breathtaking Himalayas views including Mount Everest on a clear day.Nagarkot is the fascinating destination for tourists as it posses cultural significance and natural scenic beauty This place is absolutely uninfluenced naturally as well as traditionally with the modernization of Kathmandu valley. The local people here still live in traditional three-storeyed houses wearing their traditional dresses following the traditional way of agriculture in the terraced field. We shall explore a wide area of the Nagarkot having beautiful natural scenery on this day hike around Kathmandu. The great Himalayan panorama of the shimmering snowy peaks begins our trek from Nagarkot hill station situated at the elevation of 2100m.,"Himalayan Recreation - Day Tours,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,4,"
Nagarkot Sunrise and Full Day Hiking From Kathmandu .jpg","
From NPR�11,050.94
"
18,49,"
Kathmandu Hiking Tour ","This Kathmandu Valley hiking tour is an ideal day trip for travelers who want to hike in the Himalayas but don’t have time for a longer trek. You can choose from two scenic routes, one a bit longer than the other, to suit your own needs. Your local guide will keep you safe, and provide good company and interesting information along the way.Himalayan Glacier offers its clients two route choices for hiking:","Himalayan Glacier Treking - Private Day Tours,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,4,"
Kathmandu Hiking Tour .jpg","
NPR�10,941 per adult
"
19,50,"
Kathmandu Day Hike in Kakani ","Despite its spectacular mountain views and picturesque villages, Kakani is a part of Nepal that most travelers miss. Discover the under-the-radar hilltop hub during this scenic Kathmandu Valley excursion, which includes a mini-trek through pine forests. Taste the region’s famous food specialty—rainbow trout—and homemade rhododendron-flavored liquors. You’ll also village a local Buddhist monastery and a Tamang village.8:30am: Our experienced tour guide picks you up from your hotel. Start the drive from Kathmandu city in a private vehicle to Rani Pauwa takes about 1 hour, which is about 29 kms or 18 miles from the city.","Extollo Adventures,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,4.5,"
Kathmandu Day Hike in Kakani .jpg","
NPR�10,941 per adult
"
20,51,"
Chisapani Nagarkot Treking ",Day 1 :  Drive to Sundarijal ( 1 hour) and Trek to Chisapani. 2300 meters. 5 hours. Day 2 : Trek to Nagarkot. 6 hours. Day 3 :Trek to Changu (3 hours) and drive back to Kathmandu.,"Outshine Adventure,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,3.5,"
Chisapani Nagarkot Treking .jpg","
From NPR�28,135.71
"
21,52,"
Nagarkot Full-Day Hiking Tour from Kathmandu ","Hike from Changu Narayan Temple to Nagarkot on a full-day tour from Kathmandu that provides a memorable experience of rural Nepal. Your guide leads you on a walk that takes you from UNESCO World Heritage-listed Changu Narayan, and through small villages and scenic countryside. Soak in sweeping views of the Himalayas during your moderately challenging hike, which takes about four hours. Eat lunch at a restaurant near Nagarkot, and have free time before watching the sunset over the mountains. Includes guide, and hotel pick-up and drop-off.Following a hotel pick up at 7:30am, you will be transferred to Sankhu/ Changunarayan by a private car. Nagarkot is located in Bhaktapur District at an altitude of 2170m, 32 km far from the heart of Kathmandu.You will reach Sankhu/ Changunarayan temple around 9am. Start hiking from Sankhu to Nagarkot for 3 to 4-hours, about 4km uphill. Hike through Telkot Village to see panoramic views of mountains from Nagarkot including Manaslu, Ganesh Himal, Annapuna, and the Langtang mountain ranges. Witness the local lifestyle as you watch people grazing their cattles. Arrive at Nagarkot at around 2pm.","Treking Guide Team Adventure,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,2.5,"
Nagarkot Full-Day Hiking Tour from Kathmandu .jpg","
From NPR�13,261.13
"
22,53,"
Nagarkot and Changu Narayan Hiking Tour from Kathmandu ","Swap the colorful chaos of Kathmandu for serene, snow-capped landscapes and pine-scented forests. During this rugged hike from Nagarkot to the UNESCO-listed temple of Changu Narayan, you’ll pass terraced farms and tiny Tamang and Newari villages. Inside the pagoda-style temple, get a peek at Nepal’s oldest stone inscriptions. The tour includes a hearty local lunch, private transport from Kathmandu, and your own all-day guide.","Nepal Highpoint Treking,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,4.5,"
Nagarkot and Changu Narayan Hiking Tour from Kathmandu .jpg","
From NPR�10,608.91
"
23,54,"
Nagarkot Sunrise View and Day Hiking from Kathmandu ","Nagarkot is a culturally-rich mountain resort in Nepal, famous for its sunrise views over the Himalayan mountain range. During this exhilarating tour from Kathmandu, you’ll enjoy an early morning panorama over world-renowned peaks before setting off on a scenic hike to Changu Narayan. Discover local Newari and Tamang villages as you make your way through the country’s picturesque hillsides before arriving at the UNESCO-listed temple.Overlooking the snow-topped peaks of the mighty Himalayas, the mountain resort of Nagarkot is on every visitor’s must-see list. But most tours end there, meaning tourists miss out on exploring the picturesque and culturally-rich surrounding regions.","Himalayan Planet Adventures Day Tours,18552755071",Bagmati,Kathmandu,Hiking And Treking  ,0,0,4.5,"
Nagarkot Sunrise View and Day Hiking from Kathmandu .jpg","
From NPR�5,525.47
"
24,55,"
Langtang Gosaikunda Trek ","You need to start this Langtang Gosaikunda Treking from the Syaprubeshi of Rasuwa district. You reach there via bus after 8 to 9hrs of the thrilling ride and from Syaprubeshi the walking trail starts. After the first night spent in Syaprubeshi, your walk begins through the forests alongside the ever-flowing Langtang River. Finally, the trek takes a rest in Lama Hotel, this place is very mystique. And it seems to be a hidden forest camp, us towards trek then passes by the Ghoda Tabela and then the thus towards the barren place of Langtang Valley. Subsequently, you can reach Kyanjin Gompa further 3 hours of walking. The place offers magnificent views of mountains like Langtang Lirung, Langtang glacier, Yala, Kang, Tsergo Ri etc.Day 01:  Arrival in Tribhuvan International Airport, Kathmandu (1300m/4264ft)","Peregrine Treks and Expeditions,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,4.5,"
Langtang Gosaikunda Trek .jpg","
From NPR�51,607.91
"
25,56,"
Manaslu Circuit Trek ","Manaslu Circuit Trek is more or less regarded as a remote and unspoiled trek with spectacular views of Mount Manaslu; placed east of the Annapurna Himalayan range. The name Manaslu refers ""The Spirit-Mountain”. According to the local language, it refers to be the generous and strong deity that dwells within. This trek roughly circles the world’s eighth highest mountain Manaslu (8,163 m); thus, becoming popular Treking trail for the travelers as other famous Treking trails like Everest, Annapurna, Langtang and so on. The Nepalese Government only permitted Treking of this circuit in 1992, hence, has been open to organized Treking parties only.","Himalaya Hub Adventure,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,4,"
Manaslu Circuit Trek .jpg","
From NPR�176,815.12
"
26,57,"
Day Hike to Shantidham - Peace Stupa ","You  will get opportunity to experience of Dharma (Good action), yoga (meditation) and learn the knowledge of morality and our duties with sage. You can enjoy with beautiful scenery and views of Kathmandu valley from the height.","Manakamana Treks & Expedition Day Tours,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,4,"
Day Hike to Shantidham - Peace Stupa .jpg","
From NPR�8,288.21
"
27,58,"
Day hike in Kathmandu valley ","Budhanilkantha temple & monastery Nagi Gompa and Nuns Bird watching heaven Monkey and wild boar observation Tamang people and culture living around outskirt Shivapuri Peak (2730M) Panoramic view from Shivapuri Peak Birds eye view of Kathmandu Shivapuri day hiking is one of the best outdoor activities inside the Kathmandu valley.Probably this is listed as best outdoor in the valley. It is lying in the Shivapuri National Park zone, occupied 159 Km square, while the national park protects endangered red panda, wild boar and many rare bio diversities including flora and fauna. Shivapuri hiking trails in the Shivapuri National Park, northern part of the Kathmandu valley.The hike can be started many places however the most people like to start the hike from Budanilkantha. The trail Shivapuri is well maintained by the army, most of the route paved by the stone so you have less possibility to lose your way too. Walking after half an hour, you will reach Nagi Gumba (2330m) which is a Buddhist meditation center. Observe the Buddhist monastery, school and lifestyle and amazing view of Kathmandu valley. Passing the Nagi Gumba, the trail constantly goes upwards to the Shivapuri Peak (2730m). It is one of the highest hills in Kathmandu valley, offering a panoramic view of Gaurishankar, Langtang, Ganesh Himal and  Manaslu range.","Himalayan Smile Treks & Adventures - Chandragiri Day Hiking,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,4,"
Day hike in Kathmandu valley .jpg","
NPR�9,394 per adult
"
29,60,"
Annapurna Base Camp Trek- 12 Days ","12 Days Annapurna Base Camp trek, a Customize Treking Package for those who has limited  time but like to cover Poonhiil and Annpurna Base Camp. Being at the base camp of world’s 10th tallest mountain is really a feat to achieve at least once in a lifetime. Moreover, Mt. Annapurna is the spiritual mountain worshiped by the locals referring it as goddess of harvesting. The significant importance of mountain is high as its altitude and hosts best touristic activities that ever happen in Nepal. Annapurna Base Camp Trek is journey which takes trekkers to stupendous place where splendors of nature are in abundance. Bonus things to experience at such place are opportunity to witness culture and traditions of Gurung, Magar & Tibetan communities. CLOTHING","Scenic Nepal Treks and Expedition,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,3.5,"
Annapurna Base Camp Trek- 12 Days .jpg","
From NPR�91,501.82
"
30,61,"
Annapurna Base Camp Trek ","The journey to Annapurna Base Camp (ABC) will start from Kathmandu. On arrival day, you enjoy Nepalese cultural dinner along with cultural dance program at evening. Then, in 30 minutes flight you reach Pokhara and drive for 2 hours to Shivahi. Your trek starts from here to hot spring. You have to show your Treking permit and TIMS in the National Park Office. You trail slightly towards hot spring, Jhinu Dada. The total trip will be of 10 days.ABC Treking, also known as Annapurna Sanctuary Treking is the prominent Treking in Nepal. It offers life time experience of typical Nepali culture, chance to explore local village, local people and their way of living traditional life in Himalaya of Nepal. You get to see lovely view of mountains and during the trek you pass through spectacular landscapes, charming Gurung and Magar villages, lush green Rhododendron, bamboo and alpine forests to the trip’s last and final destination.Day 1: Arrive in Kathmandu (ALT 1400 m)","Nepal Big Mountain Travel Company,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,3.5,"
Annapurna Base Camp Trek .jpg","
From NPR�110,509.45
"
31,62,"
Island Peak Expedition ","The Island peak climbing (6,160m/20,209ft) is also recognized as Imja Tse Peak among a local which is the most popular Treking peak in Everest region. The peak was first ascended by the team of Britain in 1953. After that many group and people climbed this peak of Nepal.You will see the glory of the Khumbu region passing by the Sherpa inhabited area of Lukla, Phakding, Namche Bazaar & Tengboche.  The ascending of the peak offers the captivating vistas of the panoramic Himalayan Mountains of Solukhumbu region including Mt. Everest 8848m, Mt. Lhotse 8516m, Mt. Makalu 8463m, Mt. Cho Oyu 8201 and 27 snow-capped mountain of Everest Treking region as well as glaciers and majestic lake Imja Se from the Island peak. Trek Facts:Maximum Altitude: 6,160m/20,209ftTotal Duration: 21 daysTrip Style: Camping, TeahouseGrade: StrenuousHighlights:","Nepal Sanctuary Treks - Day Trip,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,3,"
Island Peak Expedition .jpg","
From NPR�347,883.74
"
32,63,"
Expedition at the apex of Mera Peak ","Mera Peak (6,461m/21,190 ft) is the highest Treking peak in Nepal. The mountain is in the Mahalangur section, Barun sub-section of the Himalaya and located in Nepal’s Sagarmatha Zone, Solukhumbhu District.It is an adventurous peak surrounded by snowcapped Himalayan range, and the scenic views including the world’s 8000-meter peaks: Mount Everest, Lhotse, Cho Oyu, Makalu, and Kanchenjunga.Mera Peaks has three summits: Mera North, 6,476 meters (21,247 ft); Mera Central, 6,461 meters (21,198 ft); and Mera South, 6,065 meters (19,898 ft) as well as a smaller Treking summit which is visible from the south of Nepal. Trek Facts: Maximum Altitude: 6,461 m/21197 ft Total Duration: 21 days Grade: Strenuous  Trip Highlights:","Nepal Sanctuary Treks - Day Trip,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,3,"
Expedition at the apex of Mera Peak .jpg","
From NPR�359,487.24
"
33,64,"
Kopra Ridge Trek ","The Kopra Ridge is a serene trails of Annapurna region but offering remarkable views of the Himalayas including Dhaulagiri, Annapurna South, Fang and Nilgiri. It is one of the most exotic and interesting trek routes in Annapurna region. This trek contains all of the elements of a classic Nepal Treking experience including villages, wildlife, panoramic mountain views and range of landscape from forest to high alpine.Trek Facts:Maximum Altitude: 3,660 m/12,007 ftBest Season: March-May, September-NovemberGrade: ModerateTotal Duration: 14 daysTrip HighlightsKathmandu valley sightseeing;Scenic drive to PokharaMagnificent mountains view of Annapurna, Dhaulagiri and many peaksSunrise view and terraced fieldsExplore beautiful Gurung and Magar villagesWalk through forests and meadowYou might encounter with musk deer, pheasant,red fox and can see Dzo grazing in the fields Day 1: Arrive at Kathmandu airport (1,302m)Day 2: Kathmandu valley sightseeing Day 3: Kathmandu– Pokhara (895m) 25 mins flight – Nayapul (1,074m) 1hr drive – Birethati (1,025m) 30mins hikeTake scenic flight to Pokhara. Drive from Pokhara to Nayapul. Further trek down the hill to Birethati Day 4: Birethati – Ghandruk village (1,970m) 5hrs hikeStart to ascend uphill to Ghandruk passing through rhododendron and oak forest. After 3 hrs hike we reach Kimche for lunch. Continue to climb further higher until we will reach unusual oval shaped houses and stoned streets . Stay overnight in lodge.Day 5: Ghandruk – Tadapani (2,590m) 5 hrs hikeWe continue upwards through Bheri kharka and stop here for lunch. We continue to trek into the rhododendron forest and over a small pass to Tadapani. Walking uphill, we will reach the village of Tadapani where we stay overnight here.Day 6: Tadapani – Bayeli Kharka (3,420m) 7 hours hikeWe trek through forest following a trail originally used by villagers from Ghandruk. Start to ascend above the tree line and follows a ridge to Deurali and continues up to Bayeli Kharka  A clear view of Mt. Dhaulagiri can be seen to the west of the lodge.Day 7: Bayeli Kharka – Upper Chistibung (2,975m) 4hrs trekTrek on a grassy slope and passes through numerous herders’ huts and Dzo grazing in the fields. If you’re lucky you might spot beautiful Daphe pheasant, the national bird of Nepal as well the Himalayan Tahr high above the trail. Day 8: Upper Chistibung – Kopra Ridge (3,660m) 4hrs trekWe trek through steady ascent alpine meadows once you reach at ridge enjoy the full panorama of Mt. Dhaulagiri and Nilgiri, Fang and Annapurna south can also be seenDay 9: Day hike from Kopra RidgeToday we have option for a day hike  towards Kaire Lake, As it might take 11 hours to reach there and return back. Or one can join another half day hike. Return back to the lodge at Kopra RidgeDay 10: Kopra Ridge – Swanta Village (2,200m) 5hrs hikeContinuing our trek we descend further downwards to Swanta Village. Views of Mt. Dhaulagiri can be seen through the trail providing a lovely backdrop to the terraced fields and traditional houses  Day 11: Swanta Village – Ulleri (1,309m) 7hours hikeWe descend to Ulleri, walking down for few minutes and join the main trail to Ghorepani walking downhill through rhododendron forest to Ulleri Day 12: Ulleri– Nayapul –Pokhara, approx 4 hrs trekWe join the trail that descends downhill all the way to Birethati. Drive back to Pokhara from NayapulDay 13: Fly back to KathmanduDay 14:  Back home","Nepal Sanctuary Treks - Day Trip,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,2,"
Kopra Ridge Trek .jpg","
From NPR�146,977.57
"
34,65,"
Everest High Passes Trek ","This incredible trek in the Everest region is not just a thrilling trip but also a picturesque trek. It is one of the classic treks of the world as it trails to Everest Base Camp followed by Cho La (5,380m/17,650ft) and Renjo La (5,388m/17,513ft) passes.  The trek starts from Lukla heading towards Namche bazaar, whilst encounter authentic Sherpa culture  and the warm hospitality of the families of inborn mountaineers. You will be in Buddhist Sherpa territory where you will see colorful prayer flags, Buddhist chanting in the walls and monastery.Trek Facts:Maximum Altitude: 5,545 m/18,192 ftBest Season: Sep- Dec/ March- JunTrip Grade: StrenuousTotal Duration: 22 daysHighlights:","Nepal Sanctuary Treks - Day Trip,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,5,"
Everest High Passes Trek .jpg","
NPR�232,070 per adult
"
35,66,"
Kathmandu Spiritual Hiking ","This package combines four of Nepal's most fascinating  Buddhist and Hindu religious sites in the outskirt of Kathmandu Valley, which takes about 5 to 6 hours hiking. Travel to  Budhanilkantha, the start of your hiking point, where you’ll visit the sacred site of sleeping Hindu deity Vishnu, followed by hiking to  Chunikhel village, mostly inhabited by the Newar community. Hike to  Kapan Monastery and  Pullahari Monastery and finish the hike by visiting  Gokarneshwor Mahadev Temple. All of these sites provide majestic hilltop location, offering magnificent views of Kathmandu Valley.","Asian Heritage Treks and Expeditions,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,4.5,"
Kathmandu Spiritual Hiking .jpg","
NPR�7,449 per adult
"
